session_id,session_title,session_description,room,floor,start_datetime,end_datetime,duration_hrs,multiday,pre_registration,byo_laptop,speakers,session_type,keywords,skill_level
2489,Conference registration,Conference registration will be located on the 2nd floor in Preservation Foyer. Be sure to stop by and pick up your conference name badge. Name badges must be worn during the conference.,Preservation Foyer,2nd,2020-03-04T15:00:00,2020-03-04T18:00:00,3.0,True,False,False,,Special,,
2489,Conference registration,Conference registration will be located on the 2nd floor in Preservation Foyer. Be sure to stop by and pick up your conference name badge. Name badges must be worn during the conference.,Preservation Foyer,2nd,2020-03-05T07:30:00,2020-03-05T18:00:00,10.5,True,False,False,,Special,,
2490,Conference sales,"Stop by the NICAR sales table located in Preservation Foyer on the 2nd floor to browse books from the IRE store, IRE merchandise and shirts with the winning design from the T-shirt contest.",Preservation Foyer,2nd,2020-03-05T07:30:00,2020-03-05T18:00:00,10.5,True,False,False,,Special,,
2491,International meet and greet,An opportunity for international attendees to network.,Carondelet,3rd,2020-03-05T07:30:00,2020-03-05T08:15:00,0.75,False,False,False,,Special,,
1129,Welcome first timers! How to make the most of NICAR20,"Welcome to the conference! Get a special button for first-time attendees and hear from IRE staff about tips and tactics to navigate our conference like a pro. Also, you'll learn about key resources that IRE offers once you're back home.",Acadia,3rd,2020-03-05T08:30:00,2020-03-05T08:50:00,0.3333333333,False,False,False,"Doug Haddix, IRE & NICAR;Denise Malan, IRE & NICAR",Panel,welcome,General interest
1000,PyCAR,"This hands-on workshop will teach journalists basic programming concepts using the Python language. The class, spread over two half-days, will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the web, analyzing a spreadsheet and visualizing the results. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: Although the class is geared toward programming beginners, attendees should have familiarity with the command line and be comfortable with databases and SQL.",Studio 3,2nd,2020-03-05T09:00:00,2020-03-05T12:30:00,3.5,True,True,False,"Tom Meagher, The Marshall Project;Jacob Quinn Sanders, Factal;Elaine Wong, CBC/Radio-Canada",Hands-on,programming;python,Intermediate
1008,Upping your Excel game,"If you've found yourself struggling in a spreadsheet, thinking that whatever you were trying to achieve seemed harder than it should've been, then this is the class for you. We’ll learn about various tools and functions in Excel that come in handy when you need to re-structure or otherwise get your data ready for analysis. We'll cover string functions, logical functions, date functions, reshaping data, merging data using lookup functions and perhaps a few other nifty tricks if time allows. We’ll do some “drills” introducing you to these concepts, then put your new skills to work in a sort of “scrimmage,” fixing up some real-life data. You’ll also walk out with practice data and a 30-page tipsheet that covers, in detail, everything from the class, plus more that we won’t have time for. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: You should have prior experience using Excel or Google Sheets, and be comfortable with introductory-level spreadsheet skills, such as sorting, filtering, SUM and AVERAGE functions, calculations such as percentage change or percent of total, and how to use pivot tables.",Studio 2,2nd,2020-03-05T09:00:00,2020-03-05T12:30:00,3.5,False,True,False,"MaryJo Webster, The Star Tribune",Hands-on,data wrangling;excel,Intermediate
1013,Interviewing your data with SQL,"If you flip over pivot tables, but wish you had more data tools, this session is for you. Structured Query Language, or SQL, can help you use powerful filtering functions, find patterns in millions of records and join multiple data tables. This class will be taught by two experienced data reporters and former IRE trainers, and materials will include the IRE data boot camp binder, full of exercises, cheat sheets and tips to help you boost your data analysis and storytelling skills. We will use a free database manager that can be easily installed and used on any computer. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: The only prerequisites are a reasonable comfort level with using a spreadsheet. No previous SQL skills necessary.",Studio 4,2nd,2020-03-05T09:00:00,2020-03-05T17:45:00,8.75,False,True,False,"Elizabeth Lucas, Kaiser Health News;Megan Luther, InvestigateTV",Hands-on,data wrangling;sql,Intermediate
1016,Master class: Editing the data story,"Managing a data project presents challenges for any editor. No matter your comfort level with data, this half-day workshop will give you the foundation you need to help make sure your reporters aren’t running with scissors or spinning their wheels on data projects. Two veteran editors, Jennifer LaFleur of The Investigative Reporting Workshop and Maud Beelman of the Howard Center for Investigative Journalism at Arizona State University, will guide you through the ins and outs of data journalism from an editor’s point of view, including: * How to help reporters find focus for their data stories * Being skeptical of data and finding potential pitfalls * Verifying analyses and bulletproofing data stories and apps * Using data to find human sources and characters for stories * Planning the best data workflows for your newsroom No data experience is necessary for this workshop. Editors/producers and those interested in newsroom management are welcome. Please bring your own laptop.",Galerie 5,2nd,2020-03-05T09:00:00,2020-03-05T12:30:00,3.5,False,False,False,"Maud Beelman, Howard Center for Investigative Reporting;Jennifer LaFleur, Investigative Reporting Workshop",Master Class,management,Intermediate
1038,👋 Hello world! Choose your data adventure,"How do you want to NICAR? The options can be overwhelming, but at this session we can help you chart a path, whether you're looking to pick up some basic spreadsheet skills or learn how to use a fancy machine learning algorithm.",Acadia,3rd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Simone Weichselbaum, The Marshall Project;Cody Winchester, IRE & NICAR",Panel,welcome,Beginner
